ChemicalName,Formula,Synonyms,CatalogCode,CompanyName,Grade,Disposal,CAS,Class,CompatibleFamily,SignalWord,HazardStatement,GHSCodes,SDSURL,School,StoreRoom,Shelf,UOM,LastUsed,MinReorderAmount,Amount,Notes,KitCatalog
Hydrochloric acid,HCl,"Muriatic acid
Hydrogen chloride
HCl",,Fisher ,,,7647-01-0,Inorganic acid,,Danger,"May be corrosive to metals
Causes severe skin burns and eye damage
May cause respiratory irritation","CO, IR",https://www.fishersci.com/store/msds?partNumber=AC423790026&productDescription=hydrochloric-acid-reag-l&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-148,Under E Hood,L,,,1,"Keep containers tightly closed in a dry, cool and well-ventilated place. Corrosives area. Incompatible Materials. Metals. Strong oxidizing agents. Bases. sodium hypochlorite. Amines. Fluorine. Cyanides. Alkaline. Health 3 Flammability 0 Instability 0 Physical hazards N/A",
Ammonium hydroxide,Molecular Formula not found,"Ammonia solution
Ammonia water
Ammonium hydrate",,Brand Nu,,,1336-21-6,Inorganic acid,,Danger,"Causes severe skin burns and eye damage
May cause respiratory irritation","CO, IR",https://www.fishersci.com/store/msds?partNumber=A470500&productDescription=ammonia-solution-optima-ml&vendorId=VN00000001&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-147,Under SE Hood,L,,,2,"Keep containers tightly closed in a dry, cool and well-ventilated place. Corrosives area. Health 3 Flammability 0 Instability 0 Physical hazards N/A    Incompatible Materials. Strong oxidizing agents. Metals. Acids. Halogens. Strong acids.",
Sodium hydroxide,NaOH,"Caustic soda
Lye",,Fisher,,,1310-73-2,Base,,Danger,"Causes severe skin burns and eye damage
May cause respiratory irritation","CO, IR",https://www.fishersci.com/store/msds?partNumber=S39212&productDescription=sod-hydrox-nfepbpfccjp-kg&vendorId=VN00033897&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-5,g,,,200,"Keep containers tightly closed in a dry, cool and well-ventilated place. Corrosives area. Store under an inert atmosphere. Protect from moisture. Incompatible Materials. Water. Metals. Acids.",
"Nitric acid, Trace Metal Grade",HNO3,"Azotic acid
Engraver's acid
Aqua fortis",,Fisher ,,,7697-37-2,Inorganic acid,,Danger,"May intensify fire; oxidizer
May be corrosive to metals
Causes severe skin burns and eye damage
Toxic if inhaled","OX, CO, AC",https://www.fishersci.com/store/msds?partNumber=A509P500&productDescription=nitric-acid-trace-mtl-l&vendorId=VN00033897&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-148,Under E Hood,L,,,1,"Keep containers tightly closed in a dry, cool and well-ventilated place. Do not store near combustible materials. Incompatible Materials. Combustible material. Strong bases. Reducing Agent. Metals. Finely powdered metals. Organic materials. Aldehydes. Alcohols. Cyanides. Ammonia. Strong reducing agents.",
Phosphoric acid,H3O4P,Ortho,,Fisher ,,,7664-38-2,Inorganic acid,,Danger,"May be corrosive to metals
Harmful if swallowed
Causes severe skin burns and eye damage
May cause respiratory irritation","CO, IR",https://www.fishersci.com/store/msds?partNumber=AC389021000&productDescription=phosphoric-acid-pure-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-148,Under E Hood,L,,,1,"Keep containers tightly closed in a dry, cool and well-ventilated place. Protect from moisture. Corrosives area. Store under an inert atmosphere. Incompatible Materials. Strong oxidizing agents. Metals. Bases. Alcohols. Amines. halogenated agents. Strong acids.",
Sulfuric Acid ,H2SO4,"Hydrogen sulfate
Vitriol brown oil
Oil of vitriol",,Fisher ,,,7664-93-9,Inorganic acid,,Danger,"May be corrosive to metals
Causes severe skin burns and eye damage
May cause respiratory irritation","CO, IR",https://www.fishersci.com/store/msds?partNumber=A300C212&productDescription=sulfuric-acid-l-cs&vendorId=VN00033897&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-148,Under E Hood,L,,,1,"Keep containers tightly closed in a dry, cool and well-ventilated place. Keep away from water or moist air. Corrosives area. Incompatible Materials. Water. Organic materials. Strong acids. Strong bases. Metals. Alcohols. Cyanides. Sulfides.",
Acetic acid,C2H4O2,"Ethanoic acid
Glacial acetic acid
Methanecarboxylic acid",,Fisher ,,,64-19-7,Inorganic acid,,Danger,"Flammable liquid and vapor
Causes severe skin burns and eye damage","FL, CO",https://www.fishersci.com/store/msds?partNumber=A11310X1AMP&productDescription=optima-lcms-acetic-acid&vendorId=VN00033897&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-148,Under E Hood,L,,,3,"Corrosives area. Keep away from heat, sparks and flame. Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Strong bases. Metals.",
Acetic anhydride,C4H6O3,"Acetyl oxide, Acetic acid anhydride, Acetic oxide, Ethanoic anhydride",,Fisher,,,108-24-7,Organic compound,,Danger,"Flammable liquid and vapor
Harmful if swallowed
Fatal if inhaled
Causes severe skin burns and eye damage","FL, IR, AC, CO",https://www.fishersci.com/store/msds?partNumber=AA36292AE&productDescription=acetic-anhydride-acs-ml&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-146,Hood,L,,,1,"Keep containers tightly closed in a dry, cool and well-ventilated place. Keep away from heat, sparks and flame. Keep away from water or moist air. Flammables area. Incompatible Materials. Strong acids. Water. Strong reducing agents. Alcohols. Bases. Oxidizing agent.",
