ChemicalName,Formula,Synonyms,CatalogCode,CompanyName,Grade,Disposal,CAS,Class,CompatibleFamily,SignalWord,HazardStatement,GHSCodes,SDSURL,School,StoreRoom,Shelf,UOM,LastUsed,MinReorderAmount,Amount,Notes,KitCatalog
"Tin(II) chloride, anhydrous",Cl2Sn,Stannous chloride,,Fisher,,,7772-99-8,Inorganic salt,,Danger,"May be corrosive to metals
Causes severe skin burns and eye damage
May cause respiratory irritation
May cause an allergic skin reaction
May cause damage to organs
Harmful if swallowed","CO, IR, CA",https://www.fishersci.com/store/msds?partNumber=AAA1620236&productDescription=tin-ii-chlride-anhyd-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-6,lb,,,1,"Keep containers tightly closed in a dry, cool and well-ventilated place. Do not store in metal containers. Corrosives area. Store under an inert atmosphere. Incompatible Materials. Strong oxidizing agents. Peroxides. Alkali metals. .",
"Tin(II) chloride, anhydrous",Cl2Sn,Stannous chloride,,Fisher,,,7772-99-8,Inorganic salt,,Danger,"May be corrosive to metals
Causes severe skin burns and eye damage
May cause respiratory irritation
May cause an allergic skin reaction
May cause damage to organs
Harmful if swallowed","CO, IR, CA",https://www.fishersci.com/store/msds?partNumber=AAA1620236&productDescription=tin-ii-chlride-anhyd-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-6,lb,,,1,"Keep containers tightly closed in a dry, cool and well-ventilated place. Do not store in metal containers. Corrosives area. Store under an inert atmosphere. Incompatible Materials. Strong oxidizing agents. Peroxides. Alkali metals. .",
Strontium chloride hexahydrate,Cl2Sr.6H2O,No information available,,Mallinckrodt,,,10025-70-4,Organic compound,,Danger,"Causes serious eye damage
May cause respiratory irritation","CO, IR",https://www.fishersci.com/store/msds?partNumber=AC315081000&productDescription=strontium-chloride-hexahy-g&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-6,lb,,,0.5,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents.",
Strontium chloride hexahydrate,Cl2Sr.6H2O,No information available,,Mallinckrodt,,,10025-70-4,Organic compound,,Danger,"Causes serious eye damage
May cause respiratory irritation","CO, IR",https://www.fishersci.com/store/msds?partNumber=AC315081000&productDescription=strontium-chloride-hexahy-g&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-6,lb,,,0.5,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents.",
Zinc nitrate hexahydrate,N2O6Zn.6H2O,"Nitric Acid, Zinc Salt, Hexahydrate",,Fisher,,,10196-18-6,Metal-containing compound,,Danger,"May intensify fire; oxidizer
Harmful if swallowed
Causes skin irritation
Causes serious eye damage
May cause respiratory irritation","OX, IR, CO",https://www.fishersci.com/store/msds?partNumber=AC211660010&productDescription=zinc-nitrate-hexahydrate-e&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-6,g,,,200,"Keep containers tightly closed in a dry, cool and well-ventilated place. Do not store near combustible materials. Store under an inert atmosphere. Air sensitive. Incompatible Materials. Strong oxidizing agents. Strong reducing agents. Combustible material.",
Zinc sulfide,SZn,No information available,,Fisher,,,1314-98-3,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=AA1323918&productDescription=zinc-sulfide-kg&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,A-6,lb,,,1,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Incompatible Materials. Acids. Strong oxidizing agents.",
1-Naphthol,C10H8O,1-Hydroxynaphthalene,,Acros,,,90-15-3,Organic compound,,Danger,"Causes skin irritation
Causes serious eye damage
May cause respiratory irritation
Harmful if swallowed","IR, CO",https://www.fishersci.com/store/msds?partNumber=AAA118620E&productDescription=naphthol-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,g,,,50,"Keep in a dry, cool and well-ventilated place. Protect from direct sunlight. Incompatible Materials. Strong oxidizing agents. Strong bases. Halogens. Acid anhydrides. Acid chlorides.",
1-Naphthol,C10H8O,1-Hydroxynaphthalene,,Acros,,,90-15-3,Organic compound,,Danger,"Causes skin irritation
Causes serious eye damage
May cause respiratory irritation
Harmful if swallowed","IR, CO",https://www.fishersci.com/store/msds?partNumber=AAA118620E&productDescription=naphthol-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,g,,,50,"Keep in a dry, cool and well-ventilated place. Protect from direct sunlight. Incompatible Materials. Strong oxidizing agents. Strong bases. Halogens. Acid anhydrides. Acid chlorides.",
2-Naphthol,C10H8O,2-Hydroxynaphthalene,,Acros,,,135-19-3,Organic compound,,Warning,"May cause damage to organs
Harmful if swallowed","CA, IR",https://www.fishersci.com/store/msds?partNumber=AC180820025&productDescription=naphthol-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,g,,,500,"Keep containers tightly closed in a dry, cool and well-ventilated place. Protect from direct sunlight. Incompatible Materials. Acids. Strong oxidizing agents. Strong bases. Acid anhydrides. Acid chlorides.",
2-Octanone,C8H16O,"Hexyl methyl ketone
Methyl hexyl ketone",,Acros,,,111-13-7,Organic compound,,Warning,"Flammable liquid and vapor
Causes serious eye irritation","FL, IR",https://www.fishersci.com/store/msds?partNumber=AC129420025&productDescription=octanone-mloctan&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,mL,,,400,"Keep away from heat, sparks and flame. Keep container tightly closed in a dry and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Strong bases. Strong reducing agents.",
3-Nitrophthalic acid,C8H5NO6,No information available,,Acros,,,603-11-2,Inorganic acid,,Danger,"Combustible dust
May form combustible dust in air
Causes skin irritation
Causes serious eye damage
May cause respiratory irritation","IR, CO",https://www.fishersci.com/store/msds?partNumber=AC160165000&productDescription=nitrophthalic-acid--gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,g,,,100,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Incompatible Materials. Strong oxidizing agents. Strong bases.",
3-Nitrophthalic acid,C8H5NO6,No information available,,Acros,,,603-11-2,Inorganic acid,,Danger,"Combustible dust
May form combustible dust in air
Causes skin irritation
Causes serious eye damage
May cause respiratory irritation","IR, CO",https://www.fishersci.com/store/msds?partNumber=AC160165000&productDescription=nitrophthalic-acid--gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,g,,,100,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Incompatible Materials. Strong oxidizing agents. Strong bases.",
3-Octanone,C8H16O,"n-Amyl ethyl ketone
EAK",,Acros,,,106-68-3,Organic compound,,Warning,"Flammable liquid and vapor
Causes serious eye irritation","FL, IR",https://www.fishersci.com/store/msds?partNumber=AAA1211322&productDescription=octanone-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,g,,,50,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Keep away from heat, sparks and flame. Flammables area. Keep container tightly closed in a dry and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Strong bases. Strong reducing agents.",
Naphthalene,C10H8,"Tar camphor
Naphthalin
Coal tar camphor",,Fisher,,,91-20-3,Organic compound,,Danger,"Flammable solid
Harmful if swallowed
May cause cancer","FL, IR, CA",https://www.fishersci.com/store/msds?partNumber=AC180902500&productDescription=naphthalene-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,g,,,200,"Keep containers tightly closed in a dry, cool and well-ventilated place. Keep away from heat, sparks and flame. Incompatible Materials. Strong oxidizing agents. Health 2 Flammability 2 Instability 0 Physical hazards N/A",
Nitrobenzene,C6H5NO2,"Essence of mirbane
Mirbane oil
Nitrobenzol",,Acros,,,98-95-3,Organic compound,,Danger,"Combustible liquid
May cause cancer
May damage fertility
Causes damage to organs
Toxic if swallowed","CA, AC",https://www.fishersci.com/store/msds?partNumber=AC447650010&productDescription=nitrobenzene-for-ml&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,L,,,1,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Keep away from heat, sparks and flame. Incompatible Materials. Reducing Agent. Acids. Bases. Alkali metals. Oxidizing agent.",
N-Phenyldiethanolamine,C10H15NO2,"2,2`-(Phenylimino)diethanol
N,N-Dihydroxyethylaniline
PDEA",,Acros,,,120-07-0,Solvent,,Danger,"May cause an allergic skin reaction
Causes serious eye damage
Causes damage to organs","IR, CO, CA",https://www.fishersci.com/store/msds?partNumber=AAL1393122&productDescription=nphenyldiethnolamine-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,g,,,500,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Protect from light. Incompatible Materials. Acids. Strong oxidizing agents. Acid anhydrides. Acid chlorides.",
"1,10-Phenanthroline monohydrate",C12H8N2.H2O,o-Phenanthroline monohydrate,,Fluka,,,5144-89-8,Organic compound,,Danger,Toxic if swallowed,AC,https://www.fishersci.com/store/msds?partNumber=AA3091009&productDescription=phenanthroline-acs-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,g,,,25,"Keep containers tightly closed in a dry, cool and well-ventilated place. Keep under nitrogen. Incompatible Materials. Strong oxidizing agents. Strong acids.",
Orcinol,C7H8O2,"3,5-Dihydroxytoluene
5-Methylres",,Acros,,,504-15-4,Organic compound,,Warning,"Harmful if swallowed
Causes skin irritation
Causes serious eye irritation
May cause respiratory irritation",IR,https://www.fishersci.com/store/msds?partNumber=AC416580250&productDescription=orcinol-uvvis-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,g,,,5,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Protect from direct sunlight. Incompatible Materials. Strong oxidizing agents. Acid anhydrides. Acid chlorides.",
"Phenol, ACS, stabilized",C6H5OH,No information available,,Mallinckrodt,,,108-95-2,Base,,Danger,"Toxic if swallowed
Causes severe skin burns and eye damage
May cause respiratory irritation
Suspected of causing genetic defects
May cause damage to organs","AC, CO, IR, CA",https://www.fishersci.com/store/msds?partNumber=AA3321322&productDescription=phenol-acs-stab-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,lb,,,0.125,"Store under an inert atmosphere. Protect from light. Air sensitive. Keep containers tightly closed in a cool, well-ventilated place. Keep away from heat, sparks and flame. Corrosives area.",
Phenylhydrazine hydrochloride,C6H8N2.HCl,Phenylhydrazinium Chloride,,Sigma,,,59-88-1,Organic compound,,Danger,"Causes skin irritation
Causes serious eye irritation
May cause an allergic skin reaction
Suspected of causing genetic defects
Suspected of causing cancer
Causes damage to organs
Toxic if swallowed","IR, CA, AC",https://www.fishersci.com/store/msds?partNumber=AC151555000&productDescription=phenylhydrazine-hydrochl-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,g,,,10,"Keep containers tightly closed in a dry, cool and well-ventilated place. Protect from direct sunlight. Store under an inert atmosphere. Incompatible Materials. Bases. Strong oxidizing agents.",
"Phthalic acid, ACS",C8H6O4,"1,2-Benzenedicarboxylic acid",,Acros,,,88-99-3,Inorganic acid,,Danger,Causes serious eye damage,CO,https://www.fishersci.com/store/msds?partNumber=AA4177036&productDescription=phthalic-acid-acs-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,g,,,700,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents.",
Phthalic anhydride,C8H4O3,"1,3-Isobenzofurandione",,Acros,,,85-44-9,Organic compound,,Danger,"Combustible dust
May form combustible dust in air
Harmful if swallowed
Causes skin irritation
May cause an allergic skin reaction
Causes serious eye damage
May cause allergy or asthma symptoms or breathing difficulties if inhaled
May cause respiratory irritation","IR, CO, CA",https://www.fishersci.com/store/msds?partNumber=AC423325000&productDescription=phthalic-anhydride-pa-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,g,,,200,"Keep containers tightly closed in a dry, cool and well-ventilated place. Air sensitive. Incompatible Materials. Acids. Strong oxidizing agents. Strong acids. Strong bases. Strong reducing agents.",
Potassium antimonyl tartrate trihydrate,C8H4K2O12Sb2.3H2O,Antimonyl potassium tartrate trihydrate,,Acros,,,28300-74-5,Metal-containing compound,,Warning,"May cause respiratory irritation
May cause damage to organs
Harmful if swallowed","IR, CA",https://www.fishersci.com/store/msds?partNumber=AA4061922&productDescription=antmny-pot-tart-trihyd-acs-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,g,,,500,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Acids. Bases. Strong oxidizing agents.",
Sodium potassium tartrate tetrahydrate,C4H4KNaO6.4H2O,"Seignette salt
Rochelle salt
Potassium sodium tartrate tetrahydrate
Tartaric acid sodium potassium salt (Crystalline/Powder/USP/Certified ACS)",,Mallinckrodt,,,6381-59-5,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=S38710&productDescription=sod-pot-tartrate-cert-acs-kg&vendorId=VN00000001&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,g,,,500,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents.",
Sodium potassium tartrate tetrahydrate,C4H4KNaO6.4H2O,"Seignette salt
Rochelle salt
Potassium sodium tartrate tetrahydrate
Tartaric acid sodium potassium salt (Crystalline/Powder/USP/Certified ACS)",,Mallinckrodt,,,6381-59-5,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=S38710&productDescription=sod-pot-tartrate-cert-acs-kg&vendorId=VN00000001&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,g,,,500,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents.",
Sodium potassium tartrate tetrahydrate,C4H4KNaO6.4H2O,"Seignette salt
Rochelle salt
Potassium sodium tartrate tetrahydrate
Tartaric acid sodium potassium salt (Crystalline/Powder/USP/Certified ACS)",,Mallinckrodt,,,6381-59-5,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=S38710&productDescription=sod-pot-tartrate-cert-acs-kg&vendorId=VN00000001&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,g,,,500,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents.",
Sodium potassium tartrate tetrahydrate,C4H4KNaO6.4H2O,"Seignette salt
Rochelle salt
Potassium sodium tartrate tetrahydrate
Tartaric acid sodium potassium salt (Crystalline/Powder/USP/Certified ACS)",,Mallinckrodt,,,6381-59-5,Metal-containing compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=S38710&productDescription=sod-pot-tartrate-cert-acs-kg&vendorId=VN00000001&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,g,,,500,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents.",
Propiophenone,C9H10O,"Ethyl phenyl ketone
1-Phenyl-1-propanone",,Acros,,,93-55-0,Organic compound,,Warning,"Combustible liquid
Causes serious eye irritation",IR,https://www.fishersci.com/store/msds?partNumber=AC131542500&productDescription=propiophenone-mlpropi&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,mL,,,100,"Keep away from heat, sparks and flame. Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents. Strong bases.",
Resorcinol,C6H6O2,"1,3-Benzenediol
1,3-Dihydroxybenzene",,Acros,,,108-46-3,Organic compound,,Danger,"Combustible dust
May form combustible dust in air
Harmful if swallowed
Causes skin irritation
Causes serious eye irritation
May cause an allergic skin reaction
Causes damage to organs","IR, CA",https://www.fishersci.com/store/msds?partNumber=AC132290050&productDescription=resorcinol--gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,g,,,50,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Protect from direct sunlight. Store under an inert atmosphere. Keep container tightly closed in a dry and well-ventilated place. Air sensitive. Incompatible Materials. Bases. Strong oxidizing agents. Alkaline. Acid anhydrides. Acid chlorides. Metals.",
Resorcinol,C6H6O2,"1,3-Benzenediol
1,3-Dihydroxybenzene",,Acros,,,108-46-3,Organic compound,,Danger,"Combustible dust
May form combustible dust in air
Harmful if swallowed
Causes skin irritation
Causes serious eye irritation
May cause an allergic skin reaction
Causes damage to organs","IR, CA",https://www.fishersci.com/store/msds?partNumber=AC132290050&productDescription=resorcinol--gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,g,,,50,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Protect from direct sunlight. Store under an inert atmosphere. Keep container tightly closed in a dry and well-ventilated place. Air sensitive. Incompatible Materials. Bases. Strong oxidizing agents. Alkaline. Acid anhydrides. Acid chlorides. Metals.",
Semicarbazide hydrochloride,CH5N3O.ClH,"Amidourea Hydrochloride
Carbamylhydrazine Hydrochloride
Hydrazinecarboxamide Monohydrochloride",,Acros,,,563-41-7,Organic compound,,Danger,"Toxic if swallowed
Causes serious eye damage
Suspected of damaging fertility
Suspected of damaging the unborn child
May cause damage to organs","AC, CO, CA",https://www.fishersci.com/store/msds?partNumber=AC132640025&productDescription=semicarbazide-hydrochlor-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,g,,,20,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Oxidizing agent. Health 3 Flammability 1 Instability 0 Physical hazards N/A",
Stearic acid,C18H36O2,Octadecanoic acid,,Kodak,,,57-11-4,Inorganic acid,,None,"May form combustible dust in air
Combustible dust", ,https://www.fishersci.com/store/msds?partNumber=AC174490025&productDescription=stearic-acid-gc-kg&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,g,,,100,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Combustible material. Bases. Strong oxidizing agents. Reducing Agent.",
Succinic acid,C4H6O4,Butanedioic acid,,Kodak,,,110-15-6,Inorganic acid,,Danger,"Causes serious eye damage
May cause respiratory irritation","CO, IR",https://www.fishersci.com/store/msds?partNumber=AC158740010&productDescription=succinic-acid-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,g,,,400,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Bases. Reducing Agent.",
Succinic acid,C4H6O4,Butanedioic acid,,Kodak,,,110-15-6,Inorganic acid,,Danger,"Causes serious eye damage
May cause respiratory irritation","CO, IR",https://www.fishersci.com/store/msds?partNumber=AC158740010&productDescription=succinic-acid-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,g,,,400,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Bases. Reducing Agent.",
Sucrose,C12H22O11,Saccharose,,Acros,,,57-50-1,Organic compound,,None,None Identified,[],https://www.fishersci.com/store/msds?partNumber=S53&productDescription=sucrose-crystal-cert-acs-kg&vendorId=VN00033897&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,kg,,,1,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents.",
Sulfanilamide,C6H8N2O2S,4-Aminobenzenesulfonamide,,Acros,,,63-74-1,Organic compound,,Warning,"Causes skin irritation
Causes serious eye irritation
May cause respiratory irritation",IR,https://www.fishersci.com/store/msds?partNumber=AAA1300136&productDescription=sulfanilamide-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,g,,,100,"Keep containers tightly closed in a dry, cool and well-ventilated place. Store under an inert atmosphere. Protect from direct sunlight. Incompatible Materials. Strong oxidizing agents.",
Sulfanilic acid,C6H7NO3S,"4-Aminobenzenesulfonic acid
4-Anilinesulfonic Acid.",,Acros,,,121-57-3,Inorganic acid,,Warning,"Causes skin irritation
Causes serious eye irritation
May cause an allergic skin reaction",IR,https://www.fishersci.com/store/msds?partNumber=AAA1582530&productDescription=sulfanilic-acid-kg&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,g,,,250,"Keep containers tightly closed in a dry, cool and well-ventilated place.",
Sulfanilic acid,C6H7NO3S,"4-Aminobenzenesulfonic acid
4-Anilinesulfonic Acid.",,Acros,,,121-57-3,Inorganic acid,,Warning,"Causes skin irritation
Causes serious eye irritation
May cause an allergic skin reaction",IR,https://www.fishersci.com/store/msds?partNumber=AAA1582530&productDescription=sulfanilic-acid-kg&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 5,g,,,250,"Keep containers tightly closed in a dry, cool and well-ventilated place.",
"1,1,1-Trichloro-2-methyl-2-propanol hemihydrate",C4H7Cl3O.0.5H2O,"beta,beta,beta-Trichloro-tert-butyl alcohol",,Eastman Kodak,,,6001-64-5,Organic compound,,Warning,"Harmful if swallowed
Causes skin irritation
Causes serious eye irritation
May cause respiratory irritation",IR,https://www.fishersci.com/store/msds?partNumber=AC150305000&productDescription=--trichloromethyl-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 6,g,,,100,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Incompatible Materials. Acids. Strong oxidizing agents. Acid anhydrides. Acid chlorides. Metals.",
"1,1,1-Trichloro-2-methyl-2-propanol hemihydrate",C4H7Cl3O.0.5H2O,"beta,beta,beta-Trichloro-tert-butyl alcohol",,Eastman Kodak,,,6001-64-5,Organic compound,,Warning,"Harmful if swallowed
Causes skin irritation
Causes serious eye irritation
May cause respiratory irritation",IR,https://www.fishersci.com/store/msds?partNumber=AC150305000&productDescription=--trichloromethyl-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 6,g,,,100,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Incompatible Materials. Acids. Strong oxidizing agents. Acid anhydrides. Acid chlorides. Metals.",
"1,1,1-Trichloro-2-methyl-2-propanol hemihydrate",C4H7Cl3O.0.5H2O,"beta,beta,beta-Trichloro-tert-butyl alcohol",,Eastman Kodak,,,6001-64-5,Organic compound,,Warning,"Harmful if swallowed
Causes skin irritation
Causes serious eye irritation
May cause respiratory irritation",IR,https://www.fishersci.com/store/msds?partNumber=AC150305000&productDescription=--trichloromethyl-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 6,g,,,100,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Incompatible Materials. Acids. Strong oxidizing agents. Acid anhydrides. Acid chlorides. Metals.",
"1,1,1-Trichloro-2-methyl-2-propanol hemihydrate",C4H7Cl3O.0.5H2O,"beta,beta,beta-Trichloro-tert-butyl alcohol",,Eastman Kodak,,,6001-64-5,Organic compound,,Warning,"Harmful if swallowed
Causes skin irritation
Causes serious eye irritation
May cause respiratory irritation",IR,https://www.fishersci.com/store/msds?partNumber=AC150305000&productDescription=--trichloromethyl-gr&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 6,g,,,100,"Keep in a dry, cool and well-ventilated place. Keep container tightly closed. Incompatible Materials. Acids. Strong oxidizing agents. Acid anhydrides. Acid chlorides. Metals.",
"1,1,1-Trichloroethane",C2H3Cl3,0,,Mallinckrodt,,,71-55-6,0,,Warning,"Harmful if inhaled, 
May cause cancer,
Harmful to Aquatic Life,
Harms public health and the environment by destroying ozone in the upper atmosphere.
","IR, CA",https://www.sigmaaldrich.com/US/en/sds/aldrich/t54704?sdslanguage=EN&srsltid=AfmBOoqD5LwMe6_f_yn2T4izezhZgjaXPRFxUbDhZziJHf10-Ba3uNIF,CSCC TUNXIS,6-144,B- 6,kg,,,1,0,
"2,3,5-Triphenyl-2H-tetrazolium chloride",C19H15N4Cl,"Red tetrazolium
TPTZ
TTC",,Sigma,,,298-96-4,Organic compound,,Warning,"Causes skin irritation
Causes serious eye irritation
May cause respiratory irritation",IR,https://www.fishersci.com/store/msds?partNumber=AAA1087009&productDescription=triphenlhtetzolium-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 6,g,,,50,Protect from light. Store under an inert atmosphere. Keep container tightly closed in a dry and well-ventilated place. Keep refrigerated. Incompatible Materials. Strong oxidizing agents.,
"2,3,5-Triphenyl-2H-tetrazolium chloride",C19H15N4Cl,"Red tetrazolium
TPTZ
TTC",,Sigma,,,298-96-4,Organic compound,,Warning,"Causes skin irritation
Causes serious eye irritation
May cause respiratory irritation",IR,https://www.fishersci.com/store/msds?partNumber=AAA1087009&productDescription=triphenlhtetzolium-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 6,g,,,50,Protect from light. Store under an inert atmosphere. Keep container tightly closed in a dry and well-ventilated place. Keep refrigerated. Incompatible Materials. Strong oxidizing agents.,
"11-Chloro-1,1'-di-n-propyl-3,3,3',3'-tetramethyl-10,12-trimethyleneindat ricarbocyanine iodide",C36H44ClIN2,No information available,,Aldrich,,,207399-07-3,Organic compound,,Warning,"Causes skin irritation
Causes serious eye irritation
May cause respiratory irritation",IR,https://www.fishersci.com/store/msds?partNumber=AAH3215003&productDescription=chlro-dinpropl-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 6,g,,,200,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Oxidizing agent. Health 2 Flammability 1 Instability 0 Physical hazards - 11-Chloro-1,1'-di-n-propyl-3,3,3',3'-tetramethyl-10,12-tri methyleneindatricarbocyanine iodide",
"11-Chloro-1,1'-di-n-propyl-3,3,3',3'-tetramethyl-10,12-trimethyleneindat ricarbocyanine iodide",C36H44ClIN2,No information available,,Aldrich,,,207399-07-3,Organic compound,,Warning,"Causes skin irritation
Causes serious eye irritation
May cause respiratory irritation",IR,https://www.fishersci.com/store/msds?partNumber=AAH3215003&productDescription=chlro-dinpropl-g&vendorId=VN00024248&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 6,g,,,200,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Oxidizing agent. Health 2 Flammability 1 Instability 0 Physical hazards - 11-Chloro-1,1'-di-n-propyl-3,3,3',3'-tetramethyl-10,12-tri methyleneindatricarbocyanine iodide",
Activated charcoal,C,"Activated carbon
Charcoal Black
Black Pearls
Graphite natural",,AL-DON,,,7440-44-0,Unknown,,None,"May form combustible dust in air
Combustible dust", ,https://www.fishersci.com/store/msds?partNumber=AC171530050&productDescription=charcoal-decolorizing-kg&vendorId=VN00032119&keyword=true&countryCode=US&language=en,CSCC TUNXIS,6-144,B- 6,lb,,,0.5,"Keep containers tightly closed in a dry, cool and well-ventilated place. Incompatible Materials. Strong oxidizing agents.",
